Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.389;-0.197019;1.3891;0;1.3893;0;
1.6936;0.0231102;1.6937;0.1;1.6939;-0.982786;
2.004;-0.0355827;2.0041;0.2;2.0043;-0.963088;
2.3098;0.107668;2.3099;0.3;2.3101;-1.02867;
2.615;0.0146037;2.6151;0.4;2.6153;-0.875525;
2.9203;-0.338316;2.9205;0.5;2.9207;0.875794;
3.2256;-0.109465;3.2258;0.6;3.2259;-1.08378;
3.5313;3.64083;3.5315;0.7;3.5316;-2.11903;
3.8367;6.10265;3.8368;0.8;3.837;-1.82622;
4.1431;9.54755;4.1432;0.9;4.1434;0.423855;
4.4484;12.0072;4.4485;1;4.4486;1.86128;
4.7535;15.2;4.7536;1.1;4.7538;-2.47664;
5.0594;17.9459;5.0595;1.2;5.0597;-1.41186;
5.3649;20.8084;5.3651;1.3;5.3652;-2.32267;
5.6704;23.6728;5.6706;1.4;5.6713;-1.98204;
5.9766;25.9838;5.9768;1.5;5.9769;0.74064;
6.2794;28.5811;6.2796;1.6;6.2797;-2.70776;
6.582;31.4003;6.5821;1.7;6.5828;2.18917;
6.8844;34.4638;6.8845;1.8;6.8846;3.30331;
7.1869;36.901;7.187;1.9;7.1878;-1.88381;
7.4895;40.6843;7.4896;2;7.4897;-3.13539;
7.792;43.277;7.7927;2.1;7.7934;3.71122;
8.098;45.4874;8.0982;2.2;8.0985;-1.28918;
8.4008;48.6438;8.401;2.3;8.4013;4.02246;
8.7038;51.7752;8.7039;2.4;8.7041;2.1188;
9.006;54.8385;9.0061;2.5;9.0063;-3.90805;
9.3085;56.8193;9.3088;2.6;9.3089;2.27796;
9.6115;60.5049;9.6116;2.7;9.6117;2.8065;
9.915;63.1929;9.9152;2.8;9.9153;-3.98857;
10.2171;65.875;10.2177;2.9;10.2179;2.26847;
10.5197;68.8551;10.5198;3;10.52;4.32303;
10.8231;71.6747;10.8233;3.1;10.8236;4.7055;
11.1256;75.1583;11.1257;3.2;11.1259;1.98379;
11.4282;77.2386;11.4283;3.3;11.4285;-4.6037;
11.7312;79.9393;11.7313;3.4;11.7315;-3.12886;
12.0339;82.4388;12.034;3.5;12.0341;3.29834;
12.3359;85.5502;12.3361;3.6;12.3368;4.99306;
12.6401;88.7865;12.6402;3.7;12.6404;3.56452;
12.9421;91.7257;12.9428;3.8;12.943;3.63964;
13.2446;94.7147;13.2447;3.9;13.2449;3.41885;
13.5483;98.0102;13.5484;4;13.5486;-2.87875;
13.8504;101.115;13.8505;4.1;13.8506;5.56238;
14.153;103.221;14.1532;4.2;14.1533;3.04773;
14.455;105.926;14.4552;4.3;14.4554;-5.0931;
14.757;108.781;14.7571;4.4;14.7585;-3.6861;
15.0603;112.226;15.0604;4.5;15.0606;6.10157;
15.3634;115.514;15.3635;4.6;15.3637;-4.79472;
15.6655;118.299;15.6656;4.7;15.6658;-5.28736;
15.9682;120.18;15.9683;4.8;15.9685;5.20045;
16.2701;122.906;16.2703;4.9;16.2705;-5.70963;
