Equivalent Mass x;Equivalent Mass y;Current Setpoint x;Current Setpoint y;Q Current x;Q Current y;
1.395;-0.317732;1.3952;0;1.3955;0;
1.7005;-0.160047;1.7006;0.1;1.7007;-0.0412429;
2.0057;-0.0457938;2.0058;0.2;2.0066;0.0974323;
2.3095;0.0735237;2.3096;0.3;2.3099;0.153622;
2.6115;0.160944;2.6116;0.4;2.6118;0.39576;
2.9149;-0.0855696;2.915;0.5;2.9152;0.466518;
3.2174;0.0487393;3.2175;0.6;3.2177;0.481184;
3.52;1.53175;3.5201;0.7;3.5202;0.543499;
3.8242;4.16102;3.8244;0.8;3.8245;0.707169;
4.1272;6.24125;4.1274;0.9;4.1275;0.82046;
4.4315;9.18709;4.4316;1;4.4317;0.957004;
4.734;11.0602;4.7341;1.1;4.7343;0.887596;
5.0362;13.6573;5.0363;1.2;5.0364;1.12089;
5.339;15.8646;5.3391;1.3;5.3393;1.27447;
5.641;18.9464;5.6411;1.4;5.6413;1.3786;
5.9428;21.0077;5.943;1.5;5.9437;1.4463;
6.2455;23.9195;6.2457;1.6;6.2458;1.41838;
6.5475;26.4664;6.5477;1.7;6.5478;1.59373;
6.8507;28.7376;6.8508;1.8;6.851;1.71104;
7.1528;31.4975;7.1529;1.9;7.1531;1.81037;
7.4555;34.5366;7.4556;2;7.4557;1.93052;
7.7573;38.2624;7.7574;2.1;7.7575;2.06897;
8.0602;41.0037;8.0604;2.2;8.0605;2.07248;
8.3622;42.9482;8.3624;2.3;8.3625;1.99547;
8.6653;45.7056;8.6654;2.4;8.6655;2.26925;
8.9676;48.0889;8.9678;2.5;8.968;2.40386;
9.2703;50.9698;9.2704;2.6;9.2711;2.5586;
9.5737;53.6216;9.5738;2.7;9.574;2.46629;
9.8759;56.5793;9.8761;2.8;9.8763;2.59138;
10.178;59.3783;10.1781;2.9;10.1789;2.77874;
10.481;61.57;10.4812;3;10.4813;2.77735;
10.7831;64.8268;10.7837;3.1;10.7841;3.03713;
11.0861;67.6889;11.0863;3.2;11.0864;2.98369;
11.389;69.9903;11.3892;3.3;11.3894;3.16986;
11.6917;72.5319;11.6919;3.4;11.692;3.34288;
11.9945;75.3044;11.9948;3.5;11.9949;3.40984;
12.2968;78.4995;12.2969;3.6;12.2975;3.53324;
12.6005;81.221;12.6013;3.7;12.6014;3.53996;
12.9037;83.7077;12.9039;3.8;12.9041;3.51584;
13.2059;86.451;13.2066;3.9;13.2067;3.85739;
13.509;88.8276;13.5091;4;13.5093;3.72599;
13.8116;91.4741;13.8119;4.1;13.8122;3.96918;
14.1146;94.2373;14.1148;4.2;14.1149;4.22176;
14.4166;96.8434;14.4167;4.3;14.4168;4.27049;
14.719;100.05;14.7191;4.4;14.7193;4.40531;
15.0208;102.841;15.0209;4.5;15.0211;4.40573;
15.3306;105.681;15.3308;4.6;15.3309;4.5567;
15.6362;108.086;15.6363;4.7;15.6365;4.64792;
15.9423;110.959;15.9424;4.8;15.9426;4.69277;
16.2487;113.441;16.2488;4.9;16.2489;4.75333;
